1;слова;слово;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur;_;_;_;@vvp1934-words#@vvp1934#784.9#785.45
2;и;и;CCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#785.45#786.0
3;музыка;музыка;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#786.0#786.55
4;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#786.55#787.1
5;песня;песня;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#787.1#787.65
6;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@vvp1934-words#@vvp1934#788.7#789.041
7;понимаю;понимать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@vvp1934-words#@vvp1934#789.041#789.382
8;что;что;SCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#789.382#789.723
9;это;это;PRON;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#789.723#790.064
10;дурацкий;дурацкий;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#790.064#790.405
11;вопрос;вопрос;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#790.405#790.746
12;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#790.746#791.087
13;но;но;CCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#791.087#791.428
14;всё-таки;всё-таки;PART;_;_;_;_;_;@vvp1934-words#@vvp1934#791.428#791.769
15;для;для;ADP;_;_;_;_;_;@vvp1934-words#@vvp1934#791.769#792.11
16;вас;вы;PRON;_;Case=Gen|Number=Plur|Person=2;_;_;_;@vvp1934-words#@vvp1934#792.11#792.451
17;лично;лично;ADV;_;Degree=Pos;_;_;_;@vvp1934-words#@vvp1934#792.451#792.8
18;что;что;SCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#794.2#795.15
19;первичнее;первичный;ADJ;_;Case=Acc|Degree=Cmp|Number=Sing;_;_;_;"""@vvp1934-words#@vvp1934#795.15#796.1 "
20;?;?;PUNCT;_;_;_;_;_;"""@vvp1934-words#@vvp1934#795.15#797.1"""
21;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@vvp1934-words#@vvp1934#814.5#814.818
22;к;к;ADP;_;_;_;_;_;@vvp1934-words#@vvp1934#814.818#815.136
23;чему;что;PRON;_;Case=Dat;_;_;_;@vvp1934-words#@vvp1934#815.136#815.454
24;говорю;говорить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@vvp1934-words#@vvp1934#815.454#815.772
25;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#815.772#816.09
26;вот;вот;PART;_;_;_;_;_;@vvp1934-words#@vvp1934#816.09#816.408
27;если;если;SCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#816.408#816.726
28;взять;взять;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@vvp1934-words#@vvp1934#816.726#817.044
29;песню;песня;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#817.044#817.362
30;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#817.362#817.68
31;любую;любой;ADJ;_;Case=Acc|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#817.68#818.0
32;и;и;CCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#820.1#820.475
33;играть;играть;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@vvp1934-words#@vvp1934#820.475#820.85
34;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#820.85#821.225
35;в;в;ADP;_;_;_;_;_;@vvp1934-words#@vvp1934#821.225#821.6
36;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#821.6#821.975
37;вот;вот;PART;_;_;_;_;_;@vvp1934-words#@vvp1934#821.975#822.35
38;можно;можно;ADV;_;Degree=Pos;_;_;_;@vvp1934-words#@vvp1934#822.35#822.725
39;слушать;слушать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@vvp1934-words#@vvp1934#822.725#823.1
40;только;только;PART;_;_;_;_;_;@vvp1934-words#@vvp1934#823.1#823.475
41;музыку;музыка;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#823.475#823.85
42;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#823.85#824.225
43;и;и;CCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#824.225#824.6
44;можно;можно;ADV;_;Degree=Pos;_;_;_;@vvp1934-words#@vvp1934#824.6#824.975
45;/;/;PUNCT;_;_;_;_;_;@vvp1934-words#@vvp1934#824.975#825.35
46;прочитать;прочитать;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@vvp1934-words#@vvp1934#825.35#825.725
47;или;или;CCONJ;_;_;_;_;_;@vvp1934-words#@vvp1934#825.725#826.1
48;слушать;слушать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@vvp1934-words#@vvp1934#826.1#826.475
49;чтение;чтение;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@vvp1934-words#@vvp1934#826.475#826.85
50;только;только;PART;_;_;_;_;_;@vvp1934-words#@vvp1934#826.85#827.225
51;слов;слово;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur;_;_;_;@vvp1934-words#@vvp1934#827.225#827.6
